0,1,2,3,4,5,6
"【自营品质】高颜值，多音孔共鸣，震撼音效，环绕立体重低音，线控高清通话
【蓝牙5.0来电报姓名耳机-快速抢购】(此商品不参加上述活动)",https://item.jd.com/8653715.html,49.00,￥45.90,1.1万+,斯泰克（stiger）影音京东自营旗舰店,'自营'
"【自营品质】立体环绕重低音，高清晰通话，犹如面对面沟通，音乐要原汁原味才够好
【蓝牙5.0来电报姓名耳机-快速抢购】(此商品不参加上述活动)",https://item.jd.com/7120431.html,49.00,￥45.00,1.7万+,斯泰克（stiger）影音京东自营旗舰店,'自营'
12.12狂欢！领券下单立减！赠收纳袋+支架，满98即可领取移动电源~关注店铺每天领京豆~,https://item.jd.com/12196901830.html,18.00,￥16.80,4800+,洛华德数码专营店,'免邮''券158-10''2件9折''险'
小巧耳塞/TYPE-C/3.5MM接口可选,https://item.jd.com/44854116174.html,68.00,￥62.00,20+,FOKOOS旗舰店,'免邮''每满50-5''赠''险'
【京东物流】七仓发货当/次日达【限时促销】下单立减最终价79元【宽口双面可插】华为type-c数字耳机，尽享Histen无损音质点击此处领劵立减最终价69元,https://item.jd.com/31293217167.html,89.00,￥79.00,500+,丰弘数码专营店,'免邮''险'
包邮【限时秒杀】高保真立体声HiFi重底音发烧好音质，智能降噪有线控带麦克风通话，音量调节，畅想高品质音乐世界，金响官方原装正品,https://item.jd.com/29392088598.html,49.00,￥45.00,600+,金响旗舰店,'免邮''满88-20'
"~8.2到8.20，全场满88减20元~
~下单即发，一线城市当天送达~爆款线充套装，三种接口，欢迎拼单抢购",https://item.jd.com/100002439402.html,29.00,￥26.00,2700+,YOMO京东自营旗舰店,'自营''券2880-150''满88-20''赠'
双麦降噪，简约造型，沉睡节电模式，欲购从速！,https://item.jd.com/20316717740.html,89.00,￥80.00,1100+,确速数码配件专营店,'放心购''免邮''赠''险'
蓝牙5.0持久续航/音质出色/佩戴舒适且防运动脱落/人体工学线控/只为运动需求设计,https://item.jd.com/24912496057.html,99.00,￥89.00,2000+,确速数码配件专营店,'放心购''免邮''险'
"【充电听歌二合一】Type-C耳机转接头，听歌无杂音！
【边玩边充】听声辨位，支持游戏语音通话
~点击购买！",https://item.jd.com/8226261.html,29.90,￥28.00,2.2万+,ROCK自营旗舰店,'自营''券2880-150''2件9折'
"PD快充，TypeC转3.5音频，即插即用，4K高清同屏无延迟、不卡顿，合金外壳不发烫
【19新款TypeC扩展坞六合一】快速抢购(此商品不参加上述活动)",https://item.jd.com/100006224056.html,139.00,￥135.00,4.5万+,斯泰克（STIGER）京东自营旗舰店,'自营''放心购''新品''券2880-150'
音质清晰无噪音！支持高清通话k歌！通用国标美标！【MFi认证1.2米数据线，网尾防爆裂设计！】戳我购买,https://item.jd.com/100004010839.html,21.90,￥17.80,1300+,仓华自营官方旗舰店,'自营''新品''券2880-150'
"type-c转接头,type-c耳机转接头,type-c转接线,type-c耳机转接线",https://item.jd.com/100004779476.html,25.00,￥21.90,6600+,KOOLIFE京东自营旗舰店,'自营''券2880-150''满88-20'
"【充电听歌二合一】Type-C耳机转接头，听歌无杂音！
【边玩边充】听声辨位，支持游戏语音通话
~点击购买！(此商品不参加上述活动)",https://item.jd.com/100006223998.html,39.00,￥35.90,90+,ROCK自营旗舰店,'自营''新品''券2880-150''满88-20'
【正品保证】魅族官网查询验证【CD音质】Hi-Res高解析音频【关注商品】下单赠送耳机专用收纳包,https://item.jd.com/50581333092.html,129.00,￥122.00,5100+,魅族海荣专卖店,'京东物流''免邮''券399-10''赠''险'
,https://item.jd.com/19942169279.html,95.00,￥89.00,5900+,屹林宏业数码配件专营店,'京东物流''赠'
"此商品将于2019-08-19,00点结束闪购特卖，这就是生活",https://item.jd.com/27176293263.html,399.00,￥349.00,200+,丰弘数码专营店,'闪购''免邮''险'
PLUS更实惠,https://item.jd.com/52588183814.html,59.90,￥54.90,20+,唐客数码专营店,'放心购''每满300-30''险'
重低音环绕立体声,https://item.jd.com/48138854600.html,89.00,￥84.50,200+,迪卡驰旗舰店,'券39-2''赠'
石墨烯材质/立体重低音,https://item.jd.com/34943358183.html,59.00,￥49.90,300+,FOKOOS旗舰店,'放心购''免邮''每满50-5''险'
佩戴舒适*多孔出声立体环绕*3.5mm接口手机电脑通用耳机睡眠耳机，asmr舒适降噪侧睡不压耳,https://item.jd.com/48122293567.html,69.00,￥65.50,600+,迪卡驰旗舰店,'券39-2''赠'
,https://item.jd.com/40177562165.html,48.00,￥45.60,900+,楚昕数码专营店,'免邮''2件9.8折''险'
数字解码,https://item.jd.com/50484583421.html,99.00,￥94.00,0,恒达影音娱乐专营店,'满50-5''险'
